codigoFipe,modelo,anoModelo1,anoReferencia1,valor1,anoModelo2,anoReferencia2,valor2
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2005,83137.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,103309.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,115705.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,104308.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,104053.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2009,101799.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,109077.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,117644.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,116787.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,117600.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,111762.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,106797.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,114366.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,104858.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,106464.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2010,109028.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,112214.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,102020.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,116318.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,112500.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,102782.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,106985.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2009,80432.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,111166.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,104848.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,112060.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,108290.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2010,74725.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,111729.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,92255.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,109704.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,113854.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,107563.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,118497.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,110369.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,108957.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2009,77339.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,114407.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,109538.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,110871.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,112044.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,111766.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,103883.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2009,97558.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,112515.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,105534.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,114961.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,113234.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,113706.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,108660.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,87946.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,119185.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,106238.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,107690.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,100703.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,112203.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,115741.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,109088.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,114228.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,113095.0
