codigoFipe,modelo,anoModelo1,anoReferencia1,valor1,anoModelo2,anoReferencia2,valor2
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2005,83097.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,108815.0
006003-8,155,1997,2003,18450.0,1997,2010,15923.0
006003-8,155,1997,2003,18450.0,1997,2005,17839.0
006006-2,164 Super V6 24V,1996,2012,17715.0,1996,2012,17932.0
006008-9,145 QV,1998,2008,20345.0,1998,2015,14588.0
006009-7,145 Elegant 1.7/1.8 16V,1999,2019,13109.0,1999,2013,15814.0
006001-1,145 Elegant 2.0 16V,1998,2010,16717.0,1998,2020,12868.0
006001-1,145 Elegant 2.0 16V,1998,2010,16717.0,1998,2019,13239.0
006015-1,156 2.5 V6 24V 190cv 4p Aut.,2003,2008,76974.0,2003,2020,48856.0
006002-0,145 Quadrifoglio 2.0,1999,2018,14225.0,1999,2019,14197.0
006007-0,Spider 2.0/3.0,1997,2009,45581.0,1997,2009,49981.0
006011-9,166 3.0 V6 24V,2003,2020,45420.0,2003,2008,92592.0
006007-0,Spider 2.0/3.0,1997,2009,45581.0,1997,2001,46027.0
006004-6,155 Super,1997,2009,17375.0,1997,2004,19745.0
006010-0,156 TS/Sport/Elegant 2.0 16V,2002,2011,29759.0,2002,2005,61672.0
006009-7,145 Elegant 1.7/1.8 16V,1999,2019,13109.0,1999,2019,13212.0
006008-9,145 QV,1998,2008,20345.0,1998,2009,18356.0
006009-7,145 Elegant 1.7/1.8 16V,1999,2019,13109.0,1999,2006,19568.0
006014-3,156 Sport Wagon 2.0 16V,2002,2005,66268.0,2002,2011,31939.0
006014-3,156 Sport Wagon 2.0 16V,2002,2005,66268.0,2002,2019,25920.0
006003-8,155,1997,2003,18450.0,1997,2017,14154.0
006006-2,164 Super V6 24V,1996,2012,17715.0,1996,2022,20478.0
006014-3,156 Sport Wagon 2.0 16V,2002,2005,66268.0,2002,2018,26919.0
006015-1,156 2.5 V6 24V 190cv 4p Aut.,2003,2008,76974.0,2003,2019,44803.0
006005-4,164 3.0 V6,1996,2008,15314.0,1996,2007,15901.0
006008-9,145 QV,1998,2008,20345.0,1998,2022,22915.0
006010-0,156 TS/Sport/Elegant 2.0 16V,2002,2011,29759.0,2002,2010,29514.0
006014-3,156 Sport Wagon 2.0 16V,2002,2005,66268.0,2002,2011,31675.0
006006-2,164 Super V6 24V,1996,2012,17715.0,1996,2013,19202.0
006010-0,156 TS/Sport/Elegant 2.0 16V,2002,2011,29759.0,2002,2007,51874.0
006014-3,156 Sport Wagon 2.0 16V,2002,2005,66268.0,2002,2012,31979.0
006014-3,156 Sport Wagon 2.0 16V,2002,2005,66268.0,2002,2004,68091.0
006008-9,145 QV,1998,2008,20345.0,1998,2013,15500.0
006011-9,166 3.0 V6 24V,2003,2020,45420.0,2022,2002,139759.0
