id,codigoFipe,marca,modelo,anoModelo,mesReferencia,anoReferencia,valor
524047,005324-4,VW - VolksWagen,Gol 1.6 Mi Rallye I MOTION T. Flex 8V 4p,2014,9,2017,35648.0
524048,005503-4,VW - VolksWagen,JETTA R-Line 250 TSI 1.4 Flex 16V Aut.,2022,1,2021,138614.0
524049,005446-1,VW - VolksWagen,Passat Comfortline 2.0 TSI 220cv Tip.,2016,6,2020,92058.0
524050,005528-0,VW - VolksWagen,TAOS Highline 1.4 250 TSI Flex Aut.,2022,8,2021,183750.0
524051,005024-5,VW - VolksWagen,Kombi Standard/ Luxo/ Série Prata,2006,1,2020,18464.0
524052,005282-5,VW - VolksWagen,VOYAGE 1.6/1.6 City  Mi Total Flex 8V 4p,2016,3,2021,35895.0
524053,005473-9,VW - VolksWagen,up! Pepper 1.0 TSI T.Flex 12V 5p,2019,1,2020,53981.0
524055,005290-6,VW - VolksWagen,Polo 1.6 E-Flex 8V 5p,2013,5,2018,36220.0
524056,005269-8,VW - VolksWagen,Saveiro SURF 1.8 Mi Total Flex 2p,2009,4,2019,23701.0
524058,005157-8,VW - VolksWagen,Golf GTi 1.8 Mi 20V Turbo 4p Mec.,2002,8,2018,21954.0
524059,005309-0,VW - VolksWagen,Gol I MOTION 1.6 Mi Total Flex 8V 4p,2015,11,2020,31242.0
524060,005051-2,VW - VolksWagen,Parati GLi / GL 1.8,1996,4,2020,9722.0
524061,005286-8,VW - VolksWagen,SPACEFOX Route 1.6 Mi T.Flex 5p,2010,10,2019,24182.0
524062,005063-6,VW - VolksWagen,Santana GLi / GL/ Sport 1.8/ 2.0,1997,5,2020,9890.0
524063,005247-7,VW - VolksWagen,Saveiro SPORTLINE 1.6 Mi Total Flex 8V,2006,12,2019,22059.0
524064,005173-0,VW - VolksWagen,Polo 2.0 Mi 116cv 8V 5p,2004,8,2020,15004.0
524065,005009-1,VW - VolksWagen,Parati C 1.6/ CL 1.6 Mi 2p e 4p,1999,6,2018,12309.0
524066,005424-0,VW - VolksWagen,TOUAREG R-Line 4.2 V8 360cv Tiptronic 5p,2018,8,2021,295450.0
524067,005402-0,VW - VolksWagen,Fox Highline I MOTION 1.6 Flex 16V 5p,2018,9,2021,54900.0
524068,005106-3,VW - VolksWagen,Golf 2.0/ 2.0 Mi Flex Comfortline/ Sport,2009,9,2020,28780.0
524069,005063-6,VW - VolksWagen,Santana GLi / GL/ Sport 1.8/ 2.0,1997,5,2018,9785.0
524070,005103-9,VW - VolksWagen,Gol L 1.3/ L/ LS/ C/ S/ BX/ Plus 1.6,1988,9,2020,4546.0
524071,005247-7,VW - VolksWagen,Saveiro SPORTLINE 1.6 Mi Total Flex 8V,2006,9,2018,20162.0
524072,005322-8,VW - VolksWagen,SPACEFOX SPORTLINE/HIGHLINE I MOTION 1.6,2015,11,2019,46874.0
524073,005372-4,VW - VolksWagen,up! move I MOTION 1.0 T. Flex 12V 3p,2015,2,2018,30735.0
524074,005385-6,VW - VolksWagen,Saveiro Startline 1.6 T.Flex 8V,2016,4,2018,33600.0
524075,005308-2,VW - VolksWagen,Fox 1.0 Mi Total Flex 8V 5p,2014,6,2021,34103.0
524076,005298-1,VW - VolksWagen,Saveiro 1.6 Mi Total Flex 8V CE,2014,6,2022,49905.0
524077,005402-0,VW - VolksWagen,Fox Highline I MOTION 1.6 Flex 16V 5p,2018,12,2019,49031.0
524078,005042-3,VW - VolksWagen,Logus 1.6 / CLi / CL/ GL,1997,4,2020,5998.0
524079,005371-6,VW - VolksWagen,Fox SELEÇÃO IMOTION 1.6 Mi T. Flex 8V 5p,2014,2,2019,33648.0
524080,005235-3,VW - VolksWagen,TOUAREG 3.2 24V V6 Tiptronic 5p,2008,7,2017,59298.0
524081,005248-5,VW - VolksWagen,Polo Sed. COMFORT. 1.6 Mi Tot. Flex 8v,2015,6,2022,51521.0
524082,005136-5,VW - VolksWagen,Kombi Lotação 1.6 MPi,2006,8,2019,17682.0
524083,005391-0,VW - VolksWagen,Gol Comfortline 1.6 T. Flex 8V 3p,2015,10,2017,35149.0
524084,005447-0,VW - VolksWagen,Passat Highline 2.0 TSI 220cv Tip.,2022,7,2019,162056.0
524085,005332-5,VW - VolksWagen,Fox Rock in Rio 1.6 Mi Total Flex 8V 5p,2016,12,2021,48671.0
524086,005407-0,VW - VolksWagen,Fox Comfortline 1.0 Flex 8V 5p,2015,4,2018,35827.0
524087,005242-6,VW - VolksWagen,Parati COMFORTLINE 1.6 Mi Tot.Flex 8V 4p,2007,8,2021,23781.0
524088,005306-6,VW - VolksWagen,Fox 1.6 Mi Total Flex 8V 5p,2014,12,2019,31320.0
524089,005396-1,VW - VolksWagen,Gol Rallye I MOTION 1.6 T. Flex 16V 5p,2016,3,2022,50072.0
524090,005322-8,VW - VolksWagen,SPACEFOX SPORTLINE/HIGHLINE I MOTION 1.6,2015,3,2021,41318.0
524091,005412-7,VW - VolksWagen,Gol Trendline 1.6 T.Flex 8V 3p,2015,2,2020,28811.0
524092,005444-5,VW - VolksWagen,Fox TRACK 1.0 Flex 12V 5p,2018,9,2021,51187.0
524093,005201-9,VW - VolksWagen,Fox Sportline/Sports 1.0/1.0 Tot.Flex 3p,2007,8,2017,16956.0
524094,005372-4,VW - VolksWagen,up! move I MOTION 1.0 T. Flex 12V 3p,2015,9,2020,28573.0
524095,005346-5,VW - VolksWagen,Gol (novo) 1.6 Mi Total Flex 8V 2p,2014,10,2017,30162.0
524096,005036-9,VW - VolksWagen,Gol GT/GTS 1.8,1994,5,2019,11904.0
524097,005004-0,VW - VolksWagen,Gol 1000 Mi Plus 16V 2p e 4p,1999,1,2018,9806.0
524098,005519-0,VW - VolksWagen,Golf GTE TSI 1.4 16V Híbrido Aut.,2020,4,2022,225216.0
524099,005232-9,VW - VolksWagen,Parati COMFORTLINE 1.8 Mi Tot.Flex 8V 4p,2007,11,2021,28051.0
524100,005460-7,VW - VolksWagen,up! Run 1.0 Total Flex 12V 5p,2017,4,2022,49199.0
524101,005034-2,VW - VolksWagen,Gol GL 1.6 Mi/Star 1.6 e 1.8/Atlanta 1.6,1998,2,2022,12595.0
524102,005454-2,VW - VolksWagen,JETTA Comfortline 1.4 TSI 16V 4p Aut.,2018,1,2022,99370.0
524104,005144-6,VW - VolksWagen,Gol 1000 Mi 16V 2p Turbo,2002,12,2018,12031.0
524105,005219-1,VW - VolksWagen,Parati 1.8 Mi Plus Total Flex 8V 4p,2009,3,2020,21632.0
524106,005196-9,VW - VolksWagen,Gol 1.6 Mi Plus Total Flex 8V 4p,2004,8,2019,14418.0
524107,005101-2,VW - VolksWagen,Passat  L/LS/LSe/GL/GLS/TS/Fla/Vill/Plus,1989,9,2020,5191.0
524108,005328-7,VW - VolksWagen,JETTA Highline 2.0 TSI 16V 4p Tiptronic,2018,6,2022,117974.0
524109,005453-4,VW - VolksWagen,JETTA Trendline 1.4 TSI 16V 4p Mec.,2017,4,2019,68055.0
524110,005186-1,VW - VolksWagen,Polo Sed./Sed. COMF. 2.0/2.0 Flex 8V 4p,2015,6,2022,51652.0
524111,005311-2,VW - VolksWagen,VOYAGE I MOTION 1.6 Mi Total Flex 8V,2015,2,2022,43956.0
524112,005411-9,VW - VolksWagen,Gol Trendline I Motion 1.6 T. Flex 8V 3p,2015,8,2017,31980.0
524113,005370-8,VW - VolksWagen,Golf Comfortline 1.4 TSI 140cv Aut.,2015,10,2021,69819.0
524114,005156-0,VW - VolksWagen,Bora 2.0 8v Comfortline Aut.,2001,8,2022,20081.0
524115,005492-5,VW - VolksWagen,VOYAGE 1.0 Flex 12V 4p,2022,4,2019,53340.0
524116,005255-8,VW - VolksWagen,JETTA 2.5 20V 150/170cv Tiptronic,2011,2,2019,43320.0
524117,005096-2,VW - VolksWagen,Van 1.6 Mi (furgão),2002,5,2022,12269.0
524118,005347-3,VW - VolksWagen,Fusca 2.0 TSI 16V Mec.,2014,9,2018,79768.0
524119,005065-2,VW - VolksWagen,Saveiro GL 1.8Mi e 1.6/GL/LS/S/ Sunset,1999,6,2022,20025.0
524120,005273-6,VW - VolksWagen,Golf  TECH 1.6 Mi Total Flex 8V 4p,2009,12,2017,29395.0
524121,005030-0,VW - VolksWagen,Gol 1000 Mi Plus 8v 2p e 4p,1999,12,2021,9815.0
524122,005331-7,VW - VolksWagen,Gol Rock in Rio 1.0 Mi Total Flex 8V 5p,2016,1,2021,34969.0
524123,005315-5,VW - VolksWagen,Saveiro CROSS 1.6 Mi Total Flex 8V CE,2014,3,2018,40801.0
524124,005026-1,VW - VolksWagen,Apolo GLS/ Vip 1.8,1992,2,2022,8533.0
524125,005381-3,VW - VolksWagen,VOYAGE I MOTION  Trendline 1.6 T.Flex 8V,2015,10,2019,34854.0
524126,005508-5,VW - VolksWagen,T-Cross Highline 1.4 TSI Flex 16V 5p Aut,2022,1,2021,126160.0
524127,005219-1,VW - VolksWagen,Parati 1.8 Mi Plus Total Flex 8V 4p,2009,10,2020,22021.0
524128,005433-0,VW - VolksWagen,Fox Comfortline 1.0 Flex 12V 5p,2022,11,2017,48500.0
524129,005155-1,VW - VolksWagen,Bora 2.0 8v Comfortline Mec.,2001,10,2017,16783.0
524130,005449-6,VW - VolksWagen,Golf Comfortline 1.6 MSI Total Flex Aut.,2022,1,2018,79990.0
524132,005161-6,VW - VolksWagen,Saveiro FUN 1.8 99cv/ City e S.Surf  1.6,2004,4,2019,16368.0
524133,005174-8,VW - VolksWagen,Polo 1.0 Mi 79cv 16V 5p,2003,11,2020,13459.0
524134,005258-2,VW - VolksWagen,Polo GTI 1.8 Mi 150cv 20V Turbo 3p,2007,6,2020,48919.0
524135,005244-2,VW - VolksWagen,Gol COPA 1.6 Mi Total Flex 8V 4p,2006,7,2018,18281.0
524136,005184-5,VW - VolksWagen,Passat 2.8 V6 Protect Tiptronic,2005,9,2017,31460.0
524137,005041-5,VW - VolksWagen,Gol GTi 2000 16V,2000,4,2022,30833.0
524139,005362-7,VW - VolksWagen,VOYAGE SELEÇÃO 1.6 I MOTION T.Flex 8V 4p,2015,8,2020,34589.0
524140,005441-0,VW - VolksWagen,SPACEFOX 1.6 Trendline Total Flex 8v 5p,2022,2,2018,58112.0
524141,005448-8,VW - VolksWagen,Golf Comfortline 1.6 MSI Total Flex Mec.,2016,7,2019,61403.0
524142,005445-3,VW - VolksWagen,Golf Variant Comfortline 1.4 TSI Mec.,2016,12,2020,65031.0
524143,005476-3,VW - VolksWagen,Polo Highline 200 TSI 1.0 Flex 12V Aut.,2022,5,2022,116486.0
524144,005038-5,VW - VolksWagen,Gol TSi 2000 2p e 4p,1999,3,2021,11387.0
524145,005413-5,VW - VolksWagen,Passat R-Line TB 2.0 TSI Tiptronic 4p,2014,12,2018,107111.0
524146,005366-0,VW - VolksWagen,up! move 1.0 Total Flex 12V 5p,2022,9,2017,47134.0
524147,005293-0,VW - VolksWagen,Fox SUNRISE 1.0 Mi Total Flex 8V 5p,2010,2,2020,20489.0
524148,005456-9,VW - VolksWagen,Gol Comfortline 1.0 T. Flex 12V 5p,2017,12,2020,36392.0
524149,005018-0,VW - VolksWagen,Santana 2.0 Mi 2p e 4p,2006,11,2019,19094.0
524150,005351-1,VW - VolksWagen,Gol TRACK 1.0 Mi Total Flex 8V 4p,2016,5,2022,42994.0
524151,005439-9,VW - VolksWagen,up! SPEED 1.0 TSI T. Flex 12V 5p,2017,7,2019,45437.0
524152,005223-0,VW - VolksWagen,Saveiro Super Surf 1.8 Mi Total Flex 8V,2008,10,2017,24064.0
524153,005457-7,VW - VolksWagen,VOYAGE Trendline 1.0 T.Flex 12V 4p,2022,5,2019,46067.0
524154,005047-4,VW - VolksWagen,Logus Wolfsburg Edition 2000i,1997,8,2019,7966.0
524155,005283-3,VW - VolksWagen,VOYAGE 1.0/1.0 City Mi Total Flex 8V 4p,2016,5,2022,42305.0
524156,005301-5,VW - VolksWagen,Golf SILVER EDIT. 2.0 Mi T.Flex 8V Tip.,2010,6,2019,38591.0
524157,005252-3,VW - VolksWagen,Golf 1.6 Mi Total Flex 8V 4p,2014,9,2019,39230.0
524158,005449-6,VW - VolksWagen,Golf Comfortline 1.6 MSI Total Flex Aut.,2016,12,2019,62484.0
524159,005108-0,VW - VolksWagen,Parati 1.6 Mi/ 1.6 Mi City,2004,11,2018,17838.0
524160,005192-6,VW - VolksWagen,Parati 1.6Mi/1.6Mi City/T.Field T.Flex,2013,3,2018,26633.0
524161,005468-2,VW - VolksWagen,up! track 1.0 Total Flex 12V 5p,2017,11,2020,36438.0
524162,005037-7,VW - VolksWagen,Gol TSi 1.8/ 1.8Mi,1997,8,2017,9587.0
524163,005406-2,VW - VolksWagen,Fox Trendline 1.6 Flex 8V 5p,2022,5,2018,48450.0
524164,005065-2,VW - VolksWagen,Saveiro GL 1.8Mi e 1.6/GL/LS/S/ Sunset,1999,6,2020,14116.0
524165,005513-1,VW - VolksWagen,Polo Sense 200 TSI 1.0 Flex 12V Aut(PCD),2022,5,2020,69990.0
524166,005449-6,VW - VolksWagen,Golf Comfortline 1.6 MSI Total Flex Aut.,2016,11,2018,68824.0
524167,005136-5,VW - VolksWagen,Kombi Lotação 1.6 MPi,2006,5,2020,18985.0
524168,005319-8,VW - VolksWagen,Golf Sportline 2.0 Mi Total F. 8V Tip.,2014,7,2022,60731.0
524169,005269-8,VW - VolksWagen,Saveiro SURF 1.8 Mi Total Flex 2p,2009,11,2018,25007.0
524171,005146-2,VW - VolksWagen,Gol 1000 Mi 16V 4p Turbo,2003,2,2021,11931.0
524172,005351-1,VW - VolksWagen,Gol TRACK 1.0 Mi Total Flex 8V 4p,2016,9,2021,41575.0
524174,005038-5,VW - VolksWagen,Gol TSi 2000 2p e 4p,1999,1,2021,11452.0
524175,005164-0,VW - VolksWagen,Gol 1.0 Trend/ Power 8V 4p,2003,9,2019,12021.0
524177,005268-0,VW - VolksWagen,Saveiro SURF 1.6 Mi Total Flex 2p,2016,4,2020,36383.0
524178,005366-0,VW - VolksWagen,up! move 1.0 Total Flex 12V 5p,2022,12,2017,47910.0
524179,005199-3,VW - VolksWagen,Fox Plus 1.0Mi/ 1.0Mi Total Flex 8V 3p,2010,11,2020,20092.0
524180,005025-3,VW - VolksWagen,Apolo GL 1.8,1992,2,2020,6034.0
524181,005299-0,VW - VolksWagen,Saveiro TROOPER 1.6 Mi Total Flex 8V,2013,5,2022,42307.0
524182,005226-4,VW - VolksWagen,Polo Sedan Evidence 1.6 Mi T.Flex 8v 4p,2005,5,2022,24820.0
524183,005130-6,VW - VolksWagen,Golf 2.0/ 2.0 Mi Flex Comfortline Aut.,2009,9,2020,28979.0
524184,005322-8,VW - VolksWagen,SPACEFOX SPORTLINE/HIGHLINE I MOTION 1.6,2015,2,2018,54534.0
524185,005446-1,VW - VolksWagen,Passat Comfortline 2.0 TSI 220cv Tip.,2022,4,2018,160667.0
524186,005339-2,VW - VolksWagen,Gol BLACK 1.0 Mi Total Flex 8V 4p,2013,4,2021,24500.0
524187,005466-6,VW - VolksWagen,Golf Comfortline 1.0 TSI Total Flex Mec.,2022,10,2017,79071.0
524188,005147-0,VW - VolksWagen,Gol 1.0 Plus 16v 4p,2005,2,2021,12862.0
524189,005081-4,VW - VolksWagen,Kombi Carat,2002,6,2019,13884.0
524190,005114-4,VW - VolksWagen,Passat Variant 2.8 V6 Tiptronic,2005,7,2020,27668.0
524192,005155-1,VW - VolksWagen,Bora 2.0 8v Comfortline Mec.,2001,4,2020,15979.0
524193,005435-6,VW - VolksWagen,up! move 1.0 TSI Total Flex 12V 5p,2022,5,2019,53784.0
524194,005500-0,VW - VolksWagen,VIRTUS 1.6 MSI Flex 16V 4p Aut.,2022,5,2019,67239.0
524195,005011-3,VW - VolksWagen,Parati GL 1.8 Mi/ Club 1.8 Mi 2p e 4p,1999,1,2019,12770.0
524196,005060-1,VW - VolksWagen,Quantum GLi / GL 1.8/ 2.0,1996,5,2022,11450.0
524197,005352-0,VW - VolksWagen,Fox BLUEMOTION 1.0 Mi Total Flex 12V 3p,2014,9,2020,30045.0
524199,005104-7,VW - VolksWagen,Gol 1.8 Mi,2004,9,2019,13897.0
524200,005270-1,VW - VolksWagen,Parati SURF 1.6 Mi Total Flex,2013,6,2018,31122.0
524201,005167-5,VW - VolksWagen,Parati 2.0 Mi Tour 8V 112cv 4p,2003,9,2017,18098.0
524202,005382-1,VW - VolksWagen,VOYAGE I MOTION Evidence 1.6 T.Flex 8V,2016,3,2022,47415.0
524203,005316-3,VW - VolksWagen,Gol ECOMOTION 1.0 Mi Total Flex 8V 2p,2014,10,2021,22061.0
524204,005334-1,VW - VolksWagen,SpaceCross 1.6 Mi Total Flex 8V,2015,6,2021,51086.0
524205,005422-4,VW - VolksWagen,Fox PEPPER I MOTION 1.6 Flex 16V 5p,2022,3,2018,61946.0
524206,005352-0,VW - VolksWagen,Fox BLUEMOTION 1.0 Mi Total Flex 12V 3p,2014,1,2019,29768.0
524207,005263-9,VW - VolksWagen,Fox Route 1.0 Mi Total Flex 8V 5p,2010,7,2018,23983.0
524208,005256-6,VW - VolksWagen,Passat Variant Turbo 2.0 FSI Tiptron. 5p,2015,4,2021,76591.0
524209,005164-0,VW - VolksWagen,Gol 1.0 Trend/ Power 8V 4p,2003,2,2019,12154.0
524210,005242-6,VW - VolksWagen,Parati COMFORTLINE 1.6 Mi Tot.Flex 8V 4p,2007,3,2020,18854.0
524211,005108-0,VW - VolksWagen,Parati 1.6 Mi/ 1.6 Mi City,2004,5,2019,16854.0
524212,005022-9,VW - VolksWagen,Kombi Pick-Up,2000,3,2018,19256.0
524213,005361-9,VW - VolksWagen,VOYAGE SELEÇÃO 1.6 Total Flex 8V 4p,2015,1,2018,36753.0
524214,005085-7,VW - VolksWagen,Golf 1.6Mi/ 1.6Mi Gener./Black & Silver,2006,2,2019,23170.0
524215,005209-4,VW - VolksWagen,Golf 1.8 Mi Sport 150cv Turbo Mec/Aut.,2006,6,2021,25224.0
524216,005429-1,VW - VolksWagen,SPACEFOX HIGHLINE 1.6 T.Flex 16V,2018,8,2020,52406.0
524217,005431-3,VW - VolksWagen,Golf Variant Comfortline 1.4 TSI  Aut.,2016,6,2018,90091.0
524218,005296-5,VW - VolksWagen,Polo Sedan I MOTION  1.6 Total Flex  4p,2015,3,2019,39975.0
524219,005102-0,VW - VolksWagen,Santana CS/CD/CG,1986,12,2020,4843.0
524220,005302-3,VW - VolksWagen,Golf SILVER EDIT. 2.0 Mi T.Flex 8v Mec.,2010,6,2018,34853.0
524221,005298-1,VW - VolksWagen,Saveiro 1.6 Mi Total Flex 8V CE,2014,7,2021,39511.0
524222,005434-8,VW - VolksWagen,Fox Trendline 1.0 Flex 12V 5p,2018,5,2022,54119.0
524223,005159-4,VW - VolksWagen,Gol 1.0 Mi FUN/ Highway/ Sport 16V  2/4p,2003,7,2019,12068.0
524224,005468-2,VW - VolksWagen,up! track 1.0 Total Flex 12V 5p,2017,7,2019,34795.0
524225,005178-0,VW - VolksWagen,Gol Special 1.6 Mi 8V 99cv 2p,2003,6,2021,10826.0
524226,005068-7,VW - VolksWagen,VOYAGE GL/ Special 1.6/ 1.8,1995,2,2019,12225.0
524227,005285-0,VW - VolksWagen,Golf GT 2.0 Mi T. Flex 8V 4p Tiptronic,2013,4,2018,46995.0
524228,005429-1,VW - VolksWagen,SPACEFOX HIGHLINE 1.6 T.Flex 16V,2018,2,2022,58918.0
524229,005090-3,VW - VolksWagen,Passat Turbo 1.8 Mec.,2005,7,2020,20410.0
524230,005408-9,VW - VolksWagen,Saveiro CROSS 1.6 T.Flex 16V CD,2022,8,2022,121035.0
524231,005170-5,VW - VolksWagen,Golf GTi 1.8 Mi 180/193cv Turbo 4p Tip.,2009,4,2020,46151.0
524232,005447-0,VW - VolksWagen,Passat Highline 2.0 TSI 220cv Tip.,2022,6,2019,161506.0
524233,005503-4,VW - VolksWagen,JETTA R-Line 250 TSI 1.4 Flex 16V Aut.,2022,7,2021,146205.0
524234,005048-2,VW - VolksWagen,Parati CLi / CL/ Atlanta 1.6,1996,4,2020,8965.0
524235,005436-4,VW - VolksWagen,up! cross 1.0 TSI Total Flex 12V 5p,2022,3,2018,55730.0
524236,005326-0,VW - VolksWagen,JETTA Comfortline  2.0 T.Flex 8V 4p Mec.,2014,1,2018,56205.0
524238,005353-8,VW - VolksWagen,Fox BLUEMOTION 1.0 Mi Total Flex 12V 5p,2017,4,2022,52536.0
524239,005287-6,VW - VolksWagen,EOS Cab. 2.0 Turbo FSI Tiptronic,2012,2,2022,113963.0
524240,005528-0,VW - VolksWagen,TAOS Highline 1.4 250 TSI Flex Aut.,2022,12,2021,198402.0
524241,005282-5,VW - VolksWagen,VOYAGE 1.6/1.6 City  Mi Total Flex 8V 4p,2016,12,2021,43827.0
524242,005164-0,VW - VolksWagen,Gol 1.0 Trend/ Power 8V 4p,2003,9,2017,12940.0
524243,005351-1,VW - VolksWagen,Gol TRACK 1.0 Mi Total Flex 8V 4p,2016,5,2021,38807.0
524244,005515-8,VW - VolksWagen,up! Connect 1.0 TSI Total Flex 12V 5p,2022,11,2021,58150.0
524245,005183-7,VW - VolksWagen,Parati Evidence 1.8 8V/ 1.0 16V TB 4p,2003,1,2021,14679.0
524246,005148-9,VW - VolksWagen,Gol 1.0 Plus 16v 2p,2005,11,2019,12398.0
524247,005001-6,VW - VolksWagen,Gol 1000 Mi 2p  / 1000i,2003,5,2022,11512.0
524248,005403-8,VW - VolksWagen,Fox Highline1.6 Flex 16V 5p,2022,7,2017,57900.0
524249,005068-7,VW - VolksWagen,VOYAGE GL/ Special 1.6/ 1.8,1995,9,2018,11850.0
524250,005306-6,VW - VolksWagen,Fox 1.6 Mi Total Flex 8V 5p,2014,9,2020,30289.0
524251,005457-7,VW - VolksWagen,VOYAGE Trendline 1.0 T.Flex 12V 4p,2022,8,2018,48278.0
524252,005489-5,VW - VolksWagen,TIGUAN Allspac R-Line 350 TSI 2.0 4x4,2022,9,2019,189353.0
524253,005287-6,VW - VolksWagen,EOS Cab. 2.0 Turbo FSI Tiptronic,2012,3,2020,98554.0
524254,005062-8,VW - VolksWagen,Santana CLi /CL /C 1.8/2.0 /SU 2.0 2p/4p,1997,2,2022,13468.0
524255,005067-9,VW - VolksWagen,VOYAGE CL 1.8,1995,6,2022,13643.0
524256,005417-8,VW - VolksWagen,up! cross I MOTION 1.0 T.Flex 12V 5p,2017,4,2019,42925.0
524257,005270-1,VW - VolksWagen,Parati SURF 1.6 Mi Total Flex,2013,1,2021,31500.0
524258,005216-7,VW - VolksWagen,Gol 1.8 Mi Power Total Flex 8V 4p,2009,5,2019,20607.0
524259,005471-2,VW - VolksWagen,TIGUAN 1.4 TSI 16V 150cv 5p,2017,2,2020,87092.0
524260,005302-3,VW - VolksWagen,Golf SILVER EDIT. 2.0 Mi T.Flex 8v Mec.,2010,11,2019,30763.0
524261,005216-7,VW - VolksWagen,Gol 1.8 Mi Power Total Flex 8V 4p,2009,5,2021,22320.0
524262,005226-4,VW - VolksWagen,Polo Sedan Evidence 1.6 Mi T.Flex 8v 4p,2005,1,2020,19006.0
524263,005016-4,VW - VolksWagen,Quantum Exclusive 2.0 Mi,1999,6,2022,19640.0
524264,005222-1,VW - VolksWagen,Saveiro City 1.8 Mi Total Flex 8V,2009,6,2018,21147.0
524265,005224-8,VW - VolksWagen,Saveiro CROSSOVER 1.8 Mi Total Flex 8V,2007,2,2020,20384.0
524267,005169-1,VW - VolksWagen,Parati Utility 1.8 8V/ 1.0 Turbo 16V,2003,8,2020,12454.0
524268,005071-7,VW - VolksWagen,Golf GL 1.8/ 2.0i 4p,1999,7,2022,13870.0
524269,005471-2,VW - VolksWagen,TIGUAN 1.4 TSI 16V 150cv 5p,2017,5,2020,84390.0
524270,005492-5,VW - VolksWagen,VOYAGE 1.0 Flex 12V 4p,2022,7,2020,54041.0
524271,005147-0,VW - VolksWagen,Gol 1.0 Plus 16v 4p,2005,11,2021,14861.0
524272,005140-3,VW - VolksWagen,Saveiro 2.0 Mi,2004,6,2018,21750.0
524273,005201-9,VW - VolksWagen,Fox Sportline/Sports 1.0/1.0 Tot.Flex 3p,2007,11,2018,17433.0
524274,005004-0,VW - VolksWagen,Gol 1000 Mi Plus 16V 2p e 4p,1999,4,2019,9303.0
524275,005387-2,VW - VolksWagen,Saveiro Trendline 1.6 T.Flex 8V CE,2018,1,2020,44080.0
524276,005130-6,VW - VolksWagen,Golf 2.0/ 2.0 Mi Flex Comfortline Aut.,2009,7,2022,38900.0
524277,005201-9,VW - VolksWagen,Fox Sportline/Sports 1.0/1.0 Tot.Flex 3p,2007,9,2018,17303.0
524278,005363-5,VW - VolksWagen,Gol SELEÇÃO 1.6 Total Flex 8V 5p,2015,2,2018,36183.0
524279,005331-7,VW - VolksWagen,Gol Rock in Rio 1.0 Mi Total Flex 8V 5p,2016,9,2019,34825.0
524280,005072-5,VW - VolksWagen,Golf GLX 2.0 4p,1999,12,2020,14202.0
524281,005026-1,VW - VolksWagen,Apolo GLS/ Vip 1.8,1992,8,2017,6069.0
524282,005092-0,VW - VolksWagen,Passat 2.8 V6 Mec.,2001,10,2019,19145.0
524283,005189-6,VW - VolksWagen,Gol Special 1.0 Mi 4p,2004,11,2020,9570.0
524284,005266-3,VW - VolksWagen,TOUAREG 3.6 24V V6 280cv Tiptronic 5p,2017,6,2021,242975.0
524285,005115-2,VW - VolksWagen,Passat Variant Turbo 1.8 Tiptronic,2005,8,2019,24252.0
524286,005023-7,VW - VolksWagen,Kombi Furgão,2006,4,2019,15587.0
524287,005408-9,VW - VolksWagen,Saveiro CROSS 1.6 T.Flex 16V CD,2022,3,2018,72136.0
524288,005079-2,VW - VolksWagen,Gol Special/ Special Xtreme 1.0 Mi 2p,2005,10,2020,10039.0
524289,005197-7,VW - VolksWagen,Gol 1.6 Mi Plus Total Flex 8V 2p,2003,5,2021,10567.0
524290,005105-5,VW - VolksWagen,Gol 2.0 Mi 2p,2002,1,2020,12439.0
524291,005331-7,VW - VolksWagen,Gol Rock in Rio 1.0 Mi Total Flex 8V 5p,2016,2,2021,35051.0
524292,005099-7,VW - VolksWagen,Golf GTI VR6/ Golf 2.8 VR6,2003,8,2021,41409.0
524293,005411-9,VW - VolksWagen,Gol Trendline I Motion 1.6 T. Flex 8V 3p,2015,5,2021,29726.0
524294,005208-6,VW - VolksWagen,Fox Sportline/Sports 1.6/1.6 Tot.Flex 4p,2007,8,2018,21632.0
524295,005215-9,VW - VolksWagen,Saveiro CROSSOVER 1.8 Mi 8V,2005,7,2017,19127.0
524296,005227-2,VW - VolksWagen,Gol City (Trend) 1.0 Mi Total Flex 8V 2p,2016,10,2021,28032.0
524297,005127-6,VW - VolksWagen,Gol 1000 Mi 4p,2003,12,2021,11342.0
524298,005104-7,VW - VolksWagen,Gol 1.8 Mi,2004,7,2019,14061.0
524299,005078-4,VW - VolksWagen,Gol 1.6 Mi/ 1.6i 2p,2003,3,2022,12709.0
524300,005433-0,VW - VolksWagen,Fox Comfortline 1.0 Flex 12V 5p,2017,5,2020,38887.0
524301,005475-5,VW - VolksWagen,Saveiro Pepper 1.6 Flex 8V CD,2022,4,2019,73502.0
524302,005077-6,VW - VolksWagen,Passat VR6 2.8,1996,2,2019,10742.0
524303,005486-0,VW - VolksWagen,VIRTUS 1.6 MSI Flex 16V 5p Mec.,2022,6,2019,64639.0
524304,005008-3,VW - VolksWagen,Parati 1000 Mi 16V 2p e 4p,2003,7,2017,14154.0
524305,005398-8,VW - VolksWagen,Gol Trendline I MOTION 1.6 T. Flex 8V 5p,2015,11,2021,36831.0
524306,005282-5,VW - VolksWagen,VOYAGE 1.6/1.6 City  Mi Total Flex 8V 4p,2016,7,2018,38582.0
524307,005271-0,VW - VolksWagen,Parati SURF 1.8 Mi Total Flex,2009,2,2019,25600.0
